2023-01-04,مدیرعامل ریپل نسبت به شفافیت قانون‌گذاری ارزهای دیجیتال در ایالات متحده خوش‌بین است,120,13
2023-01-04,سازمان اموال تملیکی شروع به بازگرداندن ماینرهای توقیف‌شده کرده است,132,23
2023-01-04,قاضی، سم بنکمن فرید را از دسترسی به وجوه FTX و آلامدا ریسرچ منع کرد,61,11
2023-01-04,هشدار آژانس‌های نظارت فدرال به بانک‌ها درباره خطرات ارزهای دیجیتال,31,45
2023-01-04,دامیننس بیت کوین پس از ۶ ماه از ۴۰درصد فراتر رفت,139,19
2022-12-25,کاهش ۳۰درصدی هش‌ریت بیت کوین درپی وقوع کولاک شدید در آمریکا,169,65
2022-12-25,سم بنکمن فرید در سالن انتظار فرودگاه جان‌اف‌کندی در حال استراحت دیده شده است,69,-172
2022-12-24,گزارش: میلیاردرهای ارزهای دیجیتال از ماه مارس ۱۱۶میلیارد دلار از دست داده‌اند,91,128
2022-12-24,هکرهای مظنون در کره شمالی از سرقت توکن‌های غیرمثلی ۳۰۰ اتریوم به‌ دست آورده‌اند,39,83
2022-12-24,استراتژیست ارشد بازار: بیت کوین به زیر ۱۴هزار دلار سقوط می‌کند,538,573
2022-12-24,شرکت‌های استخراج بیت کوین سال را با ۴میلیارد دلار بدهی به پایان می‌رسانند,115,141
2022-12-24,عضو کمیسیون اقتصادی مجلس: ارزهای دیجیتال «نزدیک به حرام» هستند,682,721
2022-12-24,۵۸درصد از حجم معاملات NFTهای اتریومی در سال ۲۰۲۲ برای پول‌شویی بوده است,56,87
2022-12-23,کلاهبرداریِ فروش بدون کارمزد NFT کاربران اوپن‌سی را تهدید می‌کند,48,81
2022-12-23,درخواست کمک FTX از دادگاه در مبارزه بر سر مالکیت سهام رابین هود,104,25
2022-12-23,اوکی‌اکس دومین گزارش اثبات ذخایر خود را منتشر کرد,152,27
2022-12-23,پیتر شیف: رشد بیت کوین تا حدی بر علاقه سرمایه‌گذاران به طلا تأثیر گذاشته است,274,45
2022-12-23,دو کوان حدود ۱۲۰٬۰۰۰ دلار بیت کوین در صربستان نقد کرده است,170,139
2022-12-23,رشد ۵درصدی قیمت دوج کوین پس از لیست‌شدن در صرافی بیت استمپ,281,42
2022-12-23,کور ساینتیفیک وام ورشکستگی ۳۷.۵میلیون دلاری موقت دریافت می‌کند,95,33
2022-12-23,کمیسیون بورس و اوراق بهادار گزارش حسابرسی شرکت‌های ارز دیجیتال را بررسی می‌کند,97,24
